YAL001C	TFC3	147594	151166	3573
YAL002W	VPS8	143707	147531	3825
YAL003W	EFB1	142174	143160	987
YAL004W	""	140760	141407	648
YAL005C	SSA1	139503	141431	1929
YAL007C	ERP2	137698	138345	648
YAL008W	FUN14	136914	137510	597
YAL009W	SPO7	135854	136633	780
YAL010C	MDM10	134184	135665	1482
YAL011W	SWC3	132199	134076	1878
YAL012W	CYS3	130799	131983	1185
YAL013W	DEP1	129270	130487	1218
YAL014C	SYN8	128252	129019	768
YAL015C	NTG1	126903	128102	1200
YAL016C-A	""	124755	125069	315
YAL016C-B	""	124307	124492	186
YAL016W	TPD3	124879	126786	1908
YAL017W	PSK1	120225	124295	4071
YAL018C	LDS1	118564	119541	978
YAL019W	FUN30	114919	118314	3396
YAL019W-A	""	114250	114819	570
YAL020C	ATS1	113614	114615	1002
YAL021C	CCR4	110846	113359	2514
YAL022C	FUN26	108877	110430	1554
YAL023C	PMT2	106272	108551	2280
YAL024C	LTE1	101565	105872	4308
YAL025C	MAK16	100225	101145	921
YAL026C	DRS2	95630	99697	4068
YAL026C-A	""	95386	95823	438
YAL027W	SAW1	94687	95472	786
YAL028W	FRT2	92900	94486	1587
YAL029C	MYO4	87855	92270	4416
YAL030W	SNC1	87286	87752	467
YAL031C	GIP4	84749	87031	2283
YAL031W-A	""	84669	84977	309
YAL032C	PRP45	83335	84474	1140
YAL033W	POP5	82706	83227	522
YAL034C	FUN19	80710	81951	1242
YAL034C-B	""	79489	79842	354
YAL034W-A	MTW1	79718	80587	870
YAL035W	FUN12	76427	79435	3009
YAL036C	RBG1	75043	76152	1110
YAL037C-A	""	73426	73518	93
YAL037C-B	""	72326	73300	975
YAL037W	""	74020	74823	804
YAL038W	CDC19	71786	73288	1503
YAL039C	CYC3	68716	69525	810
YAL040C	CLN3	65778	67520	1743
YAL041W	CDC24	62840	65404	2565
YAL042C-A	""	61231	61608	378
YAL042W	ERV46	61316	62563	1248
YAL043C	PTA1	58695	61052	2358
YAL044C	GCV3	57950	58462	513
YAL044W-A	""	57518	57850	333
YAL045C	""	57488	57796	309
YAL046C	AIM1	57029	57385	357
YAL047C	SPC72	54989	56857	1869
YAL047W-A	""	54584	54913	330
YAL048C	GEM1	52801	54789	1989
YAL049C	AIM2	51855	52595	741
YAL051W	OAF1	48564	51707	3144
YAL053W	FLC2	45899	48250	2352
YAL054C	ACS1	42881	45022	2142
YAL055W	PEX22	42177	42719	543
YAL056C-A	""	38696	39046	351
YAL056W	GPB2	39259	41901	2643
YAL058W	CNE1	37464	38972	1509
YAL059C-A	""	36496	36918	423
YAL059W	ECM1	36509	37147	639
YAL060W	BDH1	35155	36303	1149
YAL061W	BDH2	33448	34701	1254
YAL062W	GDH3	31567	32940	1374
YAL063C	FLO9	24000	27968	3969
YAL063C-A	""	22395	22685	291
YAL064C-A	TDA8	13363	13743	381
YAL064W	""	21566	21850	285
YAL064W-B	""	12046	12426	381
YAL065C	""	11565	11951	387
YAL066W	""	10091	10399	309
YAL067C	SEO1	7235	9016	1782
YAL067W-A	""	2480	2707	228
YAL068C	PAU8	1807	2169	363
YAL068W-A	""	538	792	255
YAL069W	""	335	649	315
YAR002C-A	ERP1	154065	154724	660
YAR002W	NUP60	152257	153876	1620
YAR003W	SWD1	155005	156285	1281
YAR007C	RFA1	156754	158619	1866
YAR008W	SEN34	158966	159793	828
YAR014C	BUD14	166742	168871	2130
YAR015W	ADE1	169375	170295	921
YAR018C	KIN3	170396	171703	1308
YAR019C	CDC15	172211	175135	2925
YAR019W-A	""	174998	175330	333
YAR020C	PAU7	176856	177023	168
YAR023C	""	179281	179820	540
YAR027W	UIP3	183770	184477	708
YAR028W	""	184892	185596	705
YAR029W	""	186321	186545	225
YAR030C	""	186512	186853	342
YAR031W	PRM9	186836	187732	897
YAR033W	MST28	188107	188811	705
YAR035C-A	""	192337	192417	81
YAR035W	YAT1	190193	192256	2064
YAR042W	SWH1	192619	196185	3567
YAR047C	""	201467	201787	321
YAR050W	FLO1	203403	208016	4614
YAR053W	""	208367	208663	297
YAR060C	""	217157	217492	336
YAR064W	""	220198	220497	300
YAR066W	""	221049	221660	612
YAR068W	""	222406	222891	486
YAR069C	""	224011	224304	294
YAR070C	""	224563	224862	300
YAR071W	PHO11	225460	226863	1404
YAR073W	IMD1	227742	228953	1212
YAR075W	""	228844	229317	474
YBL001C	ECM15	237153	237467	315
YBL002W	HTB2	236492	236887	396
YBL003C	HTA2	235394	235792	399
YBL004W	UTP20	227636	235117	7482
YBL005W	PDR3	217470	220400	2931
YBL006C	LDB7	216587	217129	543
YBL006W-A	""	216711	216860	150
YBL007C	SLA1	212632	216366	3735
YBL008W	HIR1	209653	212175	2523
YBL008W-A	""	209409	209648	240
YBL009W	ALK2	207194	209224	2031
YBL010C	""	206107	206949	843
YBL011W	SCT1	203538	205817	2280
YBL012C	""	203406	203807	402
YBL013W	FMT1	202056	203261	1206
YBL014C	RRN6	199064	201748	2685
YBL015W	ACH1	194122	195702	1581
YBL016W	FUS3	192451	193512	1062
YBL017C	PEP1	186844	191583	4740
YBL018C	POP8	185998	186474	477
YBL019W	APN2	184353	185915	1563
YBL020W	RFT1	182401	184125	1725
YBL021C	HAP3	181660	182094	435
YBL022C	PIM1	177874	181275	3402
YBL023C	MCM2	174920	177526	2607
YBL024W	NCL1	172534	174588	2055
YBL025W	RRN10	171481	171918	438
YBL026W	LSM2	170623	171038	416
YBL027W	RPL19B	168423	169376	954
YBL028C	""	167518	167838	321
YBL029C-A	""	164488	164772	285
YBL029W	""	166134	167264	1131
YBL030C	PET9	163041	163997	957
YBL031W	SHE1	161699	162715	1017
YBL032W	HEK2	160184	161329	1146
YBL033C	RIB1	158656	159693	1038
YBL034C	STU1	153848	158389	4542
YBL035C	POL12	151493	153610	2118
YBL036C	""	150447	151220	774
YBL037W	APL3	147209	150286	3078
YBL038W	MRPL16	146187	146885	699
YBL039C	URA7	143989	145728	1740
YBL039C-A	""	144948	145031	84
YBL039W-B	""	143393	143572	180
YBL040C	ERD2	142112	142868	757
YBL041W	PRE7	141247	141972	726
